100
 Atoms. Timestep: 340
X 1.50341 3.06541 6.68573
X 3.69869 3.39494 4.08639
X 3.75525 9.21937 7.16807
X 2.03894 9.4527 6.3952
X 2.12072 2.62859 7.86565
X 2.79726 3.15196 7.23624
X 3.27461 9.46082 6.24334
X 2.28561 2.17628 7.04565
X 4.51429 2.74936 1.15821
X 1.60805 3.30367 8.75508
X 4.62811 3.14622 9.70716
X 1.09679 3.51691 7.98029
X 1.81224 3.65284 7.8099
X 4.04875 3.49133 0.690476
X 4.21618 2.56639 0.248062
X 0.567594 8.52582 0.681052
X 9.54128 7.81267 0.457776
X 0.277372 8.53886 9.55455
X 9.60604 8.39677 1.06904
X 9.87934 9.0764 0.383033
X 9.59805 9.41469 1.89365
X 2.91551 7.70739 6.34966
X 0.689428 8.62257 1.83056
X 4.59913 4.01252 3.56827
X 3.59915 4.6285 3.34138
X 1.29691 7.8687 5.57099
X 4.48879 9.20353 6.56429
X 0.900897 7.04282 6.31716
X 3.72678 8.74222 6.16486
X 2.75728 8.92719 6.81136
X 2.64621 9.03618 5.70254
X 1.97384 7.28781 6.28357
X 1.22552 7.83295 6.74955
X 2.25686 8.11721 5.38022
X 2.26083 7.82331 7.36799
X 2.18936 8.41115 6.0747
X 1.29292 7.80334 7.77058
X 3.66581 5.15728 9.3192
X 4.45086 8.28446 8.0025
X 0.68023 9.48558 9.82696
X 0.432967 7.60885 7.11979
X 1.69522 6.94871 7.1268
X 5.143 3.52819 0.720176
X 9.21333 9.48481 0.881844
X 0.632281 3.4764 2.00314
X 7.01856 3.51328 1.35891
X 5.46957 2.37087 0.506095
X 6.07624 3.18777 1.16556
X 7.34523 3.01576 0.220999
X 6.21968 4.46689 0.5598
X 6.39813 2.52228 0.309201
X 3.89931 3.69338 2.89263
X 6.58815 1.84651 4.73189
X 7.57536 1.52486 4.81741
X 0.942435 3.27051 3.33584
X 7.49239 2.58459 4.06988
X 7.44514 4.46489 0.434746
X 0.433524 0.339483 9.50626
X 5.56394 3.3822 0.0229286
X 9.43152 0.734977 9.43374
X 0.126676 0.940785 0.00628344
X 5.63891 2.47337 9.55531
X 9.9908 9.59225 9.11315
X 8.81268 8.58418 0.823197
X 7.43488 5.09613 0.537998
X 9.09047 7.76965 1.24389
X 6.74052 4.93036 1.1925
X 6.39903 5.05307 0.256348
X 9.75672 8.05869 2.13539
X 4.54356 8.17506 5.59779
X 0.348833 7.53317 1.49599
X 8.67807 8.82188 1.79192
X 4.99286 7.82455 6.46597
X 0.236973 7.55965 6.39354
X 5.12799 8.8562 6.43116
X 4.40384 8.02639 6.95016
X 5.21092 9.16301 7.42992
X 5.46482 8.18221 6.95545
X 0.55961 7.63051 0.259721
X 8.71734 9.3803 9.89905
X 6.56265 4.15463 9.659
100
 Atoms. Timestep: 420
X 0.272944 0.647462 1.21738
X 3.81801 2.34919 1.2989
X 4.36038 2.65466 2.6758
X 9.8114 9.89082 0.110658
X 3.0984 4.32366 2.621
X 0.372203 9.35822 0.922284
X 3.93597 3.54433 1.57717
X 2.304 3.60703 2.30514
X 0.881457 0.352238 0.622931
X 1.0709 4.2106 3.73231
X 2.52645 2.72104 3.0157
X 3.43629 8.16609 5.21825
